disability_group,age,state,district,supply_class,average_payment_annual,participant_count
Down Syndrome,25 to 34,ACT,ACT,Capacity Building,70000,21
Down Syndrome,25 to 34,ACT,ACT,Core,117000,15
Down Syndrome,35 to 44,ACT,ACT,Capacity Building,96000,24
Down Syndrome,35 to 44,ACT,ACT,Core,137000,15
Down Syndrome,45 to 54,ACT,ACT,Capacity Building,85000,13
Down Syndrome,45 to 54,ACT,ACT,Core,328000,12
Down Syndrome,7 to 14,ACT,ACT,Capacity Building,32000,12
Down Syndrome,7 to 14,ACT,ACT,Core,32000,15
Global developmental delay,0 to 6,ACT,ACT,Capacity Building,17000,54
Global developmental delay,0 to 6,ACT,ACT,Core,8000,32
Global developmental delay,7 to 14,ACT,ACT,Capacity Building,13000,36
Global developmental delay,7 to 14,ACT,ACT,Core,16000,22
Hearing Impairment,0 to 6,ACT,ACT,Capacity Building,19000,21
Hearing Impairment,0 to 6,ACT,ACT,Core,1000,21
Hearing Impairment,19 to 24,ACT,ACT,Core,2000,14
Hearing Impairment,25 to 34,ACT,ACT,Capacity Building,13000,13
Hearing Impairment,25 to 34,ACT,ACT,Core,7000,20
Hearing Impairment,35 to 44,ACT,ACT,Capacity Building,5000,19
Hearing Impairment,35 to 44,ACT,ACT,Core,10000,19
Hearing Impairment,45 to 54,ACT,ACT,Core,8000,17
Hearing Impairment,55 to 64,ACT,ACT,Capacity Building,5000,18
Hearing Impairment,55 to 64,ACT,ACT,Core,6000,33
Hearing Impairment,65+,ACT,ACT,Core,7000,22
Hearing Impairment,7 to 14,ACT,ACT,Capacity Building,11000,28
Hearing Impairment,7 to 14,ACT,ACT,Core,2000,51
Intellectual Disability,0 to 6,ACT,ACT,Capacity Building,55000,13
Intellectual Disability,0 to 6,ACT,ACT,Core,47000,24
Intellectual Disability,15 to 18,ACT,ACT,Capacity Building,32000,81
Intellectual Disability,15 to 18,ACT,ACT,Core,73000,54
Intellectual Disability,19 to 24,ACT,ACT,Capacity Building,68000,90
Intellectual Disability,19 to 24,ACT,ACT,Core,81000,112
Intellectual Disability,25 to 34,ACT,ACT,Capacity Building,67000,96
Intellectual Disability,25 to 34,ACT,ACT,Core,164000,77
Intellectual Disability,35 to 44,ACT,ACT,Capacity Building,80000,68
Intellectual Disability,35 to 44,ACT,ACT,Core,232000,50
Intellectual Disability,45 to 54,ACT,ACT,Capacity Building,77000,60
Intellectual Disability,45 to 54,ACT,ACT,Core,241000,69
Intellectual Disability,55 to 64,ACT,ACT,Capacity Building,74000,51
Intellectual Disability,55 to 64,ACT,ACT,Core,247000,46
Intellectual Disability,65+,ACT,ACT,Capacity Building,68000,15
Intellectual Disability,65+,ACT,ACT,Core,261000,13
Intellectual Disability,7 to 14,ACT,ACT,Capacity Building,23000,148
Intellectual Disability,7 to 14,ACT,ACT,Core,32000,118
Multiple Sclerosis,35 to 44,ACT,ACT,Capacity Building,43000,16
Multiple Sclerosis,35 to 44,ACT,ACT,Core,106000,15
Multiple Sclerosis,45 to 54,ACT,ACT,Capacity Building,52000,16
Multiple Sclerosis,45 to 54,ACT,ACT,Core,65000,35
Multiple Sclerosis,55 to 64,ACT,ACT,Capacity Building,46000,29
Multiple Sclerosis,55 to 64,ACT,ACT,Core,159000,28
Multiple Sclerosis,65+,ACT,ACT,Capacity Building,52000,13
Multiple Sclerosis,65+,ACT,ACT,Core,98000,30
Other,55 to 64,ACT,ACT,Core,174000,17
Other,7 to 14,ACT,ACT,Capacity Building,21000,12
Other Neurological,35 to 44,ACT,ACT,Capacity Building,49000,21
Other Neurological,35 to 44,ACT,ACT,Core,252000,14
Other Neurological,45 to 54,ACT,ACT,Capacity Building,76000,24
Other Neurological,45 to 54,ACT,ACT,Core,97000,33
Other Neurological,55 to 64,ACT,ACT,Capacity Building,58000,45
Other Neurological,55 to 64,ACT,ACT,Core,188000,55
Other Neurological,65+,ACT,ACT,Capacity Building,54000,43
Other Neurological,65+,ACT,ACT,Core,158000,57
Other Neurological,7 to 14,ACT,ACT,Capacity Building,23000,15
Other Neurological,7 to 14,ACT,ACT,Core,33000,13
Other Physical,19 to 24,ACT,ACT,Core,49000,12
Other Physical,25 to 34,ACT,ACT,Capacity Building,22000,12
Other Physical,25 to 34,ACT,ACT,Core,38000,19
Other Physical,35 to 44,ACT,ACT,Capacity Building,46000,18
Other Physical,35 to 44,ACT,ACT,Core,57000,38
Other Physical,45 to 54,ACT,ACT,Capacity Building,46000,36
Other Physical,45 to 54,ACT,ACT,Capital,35000,12
Other Physical,45 to 54,ACT,ACT,Core,51000,52
Other Physical,55 to 64,ACT,ACT,Capacity Building,49000,42
Other Physical,55 to 64,ACT,ACT,Capital,45000,15
Other Physical,55 to 64,ACT,ACT,Core,61000,63
Other Physical,65+,ACT,ACT,Capacity Building,41000,45
Other Physical,65+,ACT,ACT,Capital,21000,14
Other Physical,65+,ACT,ACT,Core,55000,56
Other Physical,7 to 14,ACT,ACT,Capacity Building,20000,16
Other Physical,7 to 14,ACT,ACT,Core,25000,22
Other Sensory/Speech,7 to 14,ACT,ACT,Capacity Building,6000,32
Other Sensory/Speech,7 to 14,ACT,ACT,Core,2000,11
Psychosocial disability,19 to 24,ACT,ACT,Capacity Building,38000,20
Psychosocial disability,19 to 24,ACT,ACT,Core,62000,21
Psychosocial disability,25 to 34,ACT,ACT,Capacity Building,46000,100
Psychosocial disability,25 to 34,ACT,ACT,Core,97000,65
Psychosocial disability,35 to 44,ACT,ACT,Capacity Building,47000,145
Psychosocial disability,35 to 44,ACT,ACT,Core,116000,113
Psychosocial disability,45 to 54,ACT,ACT,Capacity Building,45000,140
Psychosocial disability,45 to 54,ACT,ACT,Core,65000,126
Psychosocial disability,55 to 64,ACT,ACT,Capacity Building,48000,117
Psychosocial disability,55 to 64,ACT,ACT,Core,78000,137
Psychosocial disability,65+,ACT,ACT,Capacity Building,48000,48
Psychosocial disability,65+,ACT,ACT,Core,105000,57
Spinal Cord Injury,55 to 64,ACT,ACT,Core,159000,18
Stroke,45 to 54,ACT,ACT,Capacity Building,61000,11
Stroke,55 to 64,ACT,ACT,Capacity Building,121000,18
Stroke,55 to 64,ACT,ACT,Core,228000,27
Stroke,65+,ACT,ACT,Capacity Building,51000,24
Stroke,65+,ACT,ACT,Core,133000,25
Visual Impairment,25 to 34,ACT,ACT,Core,15000,18
Visual Impairment,35 to 44,ACT,ACT,Core,15000,14
Visual Impairment,45 to 54,ACT,ACT,Core,21000,20
Visual Impairment,55 to 64,ACT,ACT,Core,35000,20
ABI,15 to 18,NSW,South Western Sydney,Capacity Building,41000,12
ABI,19 to 24,NSW,Hunter New England,Capacity Building,87000,14
ABI,19 to 24,NSW,Hunter New England,Core,122000,19
ABI,19 to 24,NSW,Northern NSW,Capacity Building,67000,11
ABI,19 to 24,NSW,South Western Sydney,Capacity Building,84000,12
ABI,19 to 24,NSW,South Western Sydney,Core,142000,11
ABI,25 to 34,NSW,Hunter New England,Capacity Building,83000,40
ABI,25 to 34,NSW,Hunter New England,Core,199000,42
ABI,25 to 34,NSW,Illawarra Shoalhaven,Capacity Building,85000,14
ABI,25 to 34,NSW,Illawarra Shoalhaven,Core,107000,19
ABI,25 to 34,NSW,Mid North Coast,Capacity Building,134000,11
ABI,25 to 34,NSW,Nepean Blue Mountains,Capacity Building,66000,14
ABI,25 to 34,NSW,North Sydney,Core,104000,16
ABI,25 to 34,NSW,Northern NSW,Capacity Building,83000,17
ABI,25 to 34,NSW,South Eastern Sydney,Capacity Building,76000,15
ABI,25 to 34,NSW,South Western Sydney,Capacity Building,101000,38
ABI,25 to 34,NSW,South Western Sydney,Core,150000,42
ABI,25 to 34,NSW,Western Sydney,Capacity Building,109000,17
ABI,25 to 34,NSW,Western Sydney,Core,145000,28
ABI,35 to 44,NSW,Central Coast,Capacity Building,65000,24
ABI,35 to 44,NSW,Central Coast,Core,262000,15
ABI,35 to 44,NSW,Hunter New England,Capacity Building,115000,58
ABI,35 to 44,NSW,Hunter New England,Core,204000,77
ABI,35 to 44,NSW,Illawarra Shoalhaven,Capacity Building,85000,25
ABI,35 to 44,NSW,Illawarra Shoalhaven,Core,138000,21
ABI,35 to 44,NSW,Mid North Coast,Capacity Building,104000,14
ABI,35 to 44,NSW,Mid North Coast,Core,186000,14
ABI,35 to 44,NSW,Murrumbidgee,Core,140000,11
ABI,35 to 44,NSW,Nepean Blue Mountains,Capacity Building,119000,15
ABI,35 to 44,NSW,Nepean Blue Mountains,Core,125000,21
ABI,35 to 44,NSW,North Sydney,Capacity Building,100000,18
ABI,35 to 44,NSW,North Sydney,Core,275000,14
ABI,35 to 44,NSW,Northern NSW,Capacity Building,112000,23
ABI,35 to 44,NSW,Northern NSW,Core,140000,16
ABI,35 to 44,NSW,South Eastern Sydney,Capacity Building,104000,17
ABI,35 to 44,NSW,South Eastern Sydney,Core,173000,20
ABI,35 to 44,NSW,South Western Sydney,Capacity Building,114000,32
ABI,35 to 44,NSW,South Western Sydney,Core,169000,50
ABI,35 to 44,NSW,Sydney,Capacity Building,53000,15
ABI,35 to 44,NSW,Sydney,Core,122000,14
ABI,35 to 44,NSW,Western NSW,Capacity Building,55000,20
ABI,35 to 44,NSW,Western Sydney,Capacity Building,110000,23
ABI,35 to 44,NSW,Western Sydney,Core,146000,30
ABI,45 to 54,NSW,Central Coast,Capacity Building,71000,40
ABI,45 to 54,NSW,Central Coast,Core,176000,23
ABI,45 to 54,NSW,Hunter New England,Capacity Building,98000,80
ABI,45 to 54,NSW,Hunter New England,Core,147000,93
ABI,45 to 54,NSW,Illawarra Shoalhaven,Capacity Building,69000,40
ABI,45 to 54,NSW,Illawarra Shoalhaven,Core,136000,34
ABI,45 to 54,NSW,Mid North Coast,Capacity Building,147000,21
ABI,45 to 54,NSW,Mid North Coast,Core,136000,35
ABI,45 to 54,NSW,Murrumbidgee,Capacity Building,105000,19
ABI,45 to 54,NSW,Murrumbidgee,Core,218000,22
ABI,45 to 54,NSW,Nepean Blue Mountains,Capacity Building,71000,24
ABI,45 to 54,NSW,Nepean Blue Mountains,Core,253000,18
ABI,45 to 54,NSW,North Sydney,Capacity Building,66000,45
ABI,45 to 54,NSW,North Sydney,Core,274000,46
ABI,45 to 54,NSW,Northern NSW,Capacity Building,106000,33
ABI,45 to 54,NSW,Northern NSW,Core,181000,34
ABI,45 to 54,NSW,South Eastern Sydney,Capacity Building,93000,36
ABI,45 to 54,NSW,South Eastern Sydney,Core,176000,40
ABI,45 to 54,NSW,South Western Sydney,Capacity Building,88000,73
ABI,45 to 54,NSW,South Western Sydney,Core,257000,74
ABI,45 to 54,NSW,Southern NSW,Capacity Building,85000,14
ABI,45 to 54,NSW,Southern NSW,Core,236000,15
ABI,45 to 54,NSW,Sydney,Capacity Building,80000,24
ABI,45 to 54,NSW,Sydney,Core,212000,27
ABI,45 to 54,NSW,Western NSW,Capacity Building,77000,25
ABI,45 to 54,NSW,Western NSW,Core,154000,26
ABI,45 to 54,NSW,Western Sydney,Capacity Building,91000,46
ABI,45 to 54,NSW,Western Sydney,Core,187000,54
ABI,55 to 64,NSW,Central Coast,Capacity Building,84000,31
ABI,55 to 64,NSW,Central Coast,Core,159000,43
ABI,55 to 64,NSW,Hunter New England,Capacity Building,110000,97
ABI,55 to 64,NSW,Hunter New England,Capital,65000,13
ABI,55 to 64,NSW,Hunter New England,Core,166000,134
ABI,55 to 64,NSW,Illawarra Shoalhaven,Capacity Building,104000,63
ABI,55 to 64,NSW,Illawarra Shoalhaven,Core,194000,42
ABI,55 to 64,NSW,Mid North Coast,Capacity Building,83000,31
ABI,55 to 64,NSW,Mid North Coast,Core,243000,29
ABI,55 to 64,NSW,Murrumbidgee,Capacity Building,68000,42
ABI,55 to 64,NSW,Murrumbidgee,Core,193000,39
ABI,55 to 64,NSW,Nepean Blue Mountains,Capacity Building,108000,32
ABI,55 to 64,NSW,Nepean Blue Mountains,Core,302000,27
ABI,55 to 64,NSW,North Sydney,Capacity Building,85000,42
ABI,55 to 64,NSW,North Sydney,Core,205000,49
ABI,55 to 64,NSW,Northern NSW,Capacity Building,130000,29
ABI,55 to 64,NSW,Northern NSW,Core,149000,45
ABI,55 to 64,NSW,South Eastern Sydney,Capacity Building,76000,51
ABI,55 to 64,NSW,South Eastern Sydney,Core,205000,60
ABI,55 to 64,NSW,South Western Sydney,Capacity Building,93000,80
ABI,55 to 64,NSW,South Western Sydney,Core,253000,72
ABI,55 to 64,NSW,Southern NSW,Capacity Building,42000,23
ABI,55 to 64,NSW,Southern NSW,Core,178000,19
ABI,55 to 64,NSW,Sydney,Capacity Building,79000,37
ABI,55 to 64,NSW,Sydney,Core,165000,35
ABI,55 to 64,NSW,Western NSW,Capacity Building,74000,28
ABI,55 to 64,NSW,Western NSW,Core,189000,42
ABI,55 to 64,NSW,Western Sydney,Capacity Building,84000,68
ABI,55 to 64,NSW,Western Sydney,Core,311000,50
ABI,65+,NSW,Central Coast,Capacity Building,65000,14
ABI,65+,NSW,Central Coast,Core,196000,15
ABI,65+,NSW,Hunter New England,Capacity Building,89000,53
ABI,65+,NSW,Hunter New England,Core,191000,42
ABI,65+,NSW,Mid North Coast,Capacity Building,74000,17
ABI,65+,NSW,North Sydney,Capacity Building,74000,15
ABI,65+,NSW,North Sydney,Core,233000,18
ABI,65+,NSW,Northern NSW,Core,230000,16
ABI,65+,NSW,South Eastern Sydney,Capacity Building,80000,18
ABI,65+,NSW,South Eastern Sydney,Core,217000,19
ABI,65+,NSW,South Western Sydney,Capacity Building,125000,33
ABI,65+,NSW,South Western Sydney,Core,201000,42
ABI,65+,NSW,Sydney,Core,168000,12
ABI,65+,NSW,Western Sydney,Capacity Building,97000,19
ABI,65+,NSW,Western Sydney,Core,227000,21
ABI,7 to 14,NSW,Hunter New England,Capacity Building,24000,22
ABI,7 to 14,NSW,South Western Sydney,Capacity Building,35000,20
ABI,7 to 14,NSW,Western Sydney,Capacity Building,97000,20
Autism,0 to 6,NSW,Central Coast,Capacity Building,24000,211
Autism,0 to 6,NSW,Central Coast,Core,11000,152
Autism,0 to 6,NSW,Far West,Capacity Building,15000,11
Autism,0 to 6,NSW,Hunter New England,Capacity Building,29000,399
Autism,0 to 6,NSW,Hunter New England,Core,12000,285
Autism,0 to 6,NSW,Illawarra Shoalhaven,Capacity Building,24000,229
Autism,0 to 6,NSW,Illawarra Shoalhaven,Core,16000,126
Autism,0 to 6,NSW,Mid North Coast,Capacity Building,25000,148
Autism,0 to 6,NSW,Mid North Coast,Core,9000,120
Autism,0 to 6,NSW,Murrumbidgee,Capacity Building,20000,120
Autism,0 to 6,NSW,Murrumbidgee,Core,10000,121
Autism,0 to 6,NSW,Nepean Blue Mountains,Capacity Building,25000,391
Autism,0 to 6,NSW,Nepean Blue Mountains,Core,17000,163
Autism,0 to 6,NSW,North Sydney,Capacity Building,40000,291
Autism,0 to 6,NSW,North Sydney,Core,16000,189
Autism,0 to 6,NSW,Northern NSW,Capacity Building,32000,112
Autism,0 to 6,NSW,Northern NSW,Core,10000,112
Autism,0 to 6,NSW,South Eastern Sydney,Capacity Building,34000,379
Autism,0 to 6,NSW,South Eastern Sydney,Core,18000,247
Autism,0 to 6,NSW,South Western Sydney,Capacity Building,26000,1117
Autism,0 to 6,NSW,South Western Sydney,Core,20000,543
Autism,0 to 6,NSW,Southern NSW,Capacity Building,29000,80
Autism,0 to 6,NSW,Southern NSW,Core,12000,49
Autism,0 to 6,NSW,Sydney,Capacity Building,38000,172
Autism,0 to 6,NSW,Sydney,Core,12000,132
Autism,0 to 6,NSW,Western NSW,Capacity Building,23000,99
Autism,0 to 6,NSW,Western NSW,Core,11000,75
Autism,0 to 6,NSW,Western Sydney,Capacity Building,29000,1053
Autism,0 to 6,NSW,Western Sydney,Core,17000,433
Autism,15 to 18,NSW,Central Coast,Capacity Building,24000,401
Autism,15 to 18,NSW,Central Coast,Core,40000,275
Autism,15 to 18,NSW,Far West,Capacity Building,25000,21
Autism,15 to 18,NSW,Far West,Core,33000,17
Autism,15 to 18,NSW,Hunter New England,Capacity Building,24000,989
Autism,15 to 18,NSW,Hunter New England,Capital,6000,17
Autism,15 to 18,NSW,Hunter New England,Core,41000,586
Autism,15 to 18,NSW,Illawarra Shoalhaven,Capacity Building,29000,305
Autism,15 to 18,NSW,Illawarra Shoalhaven,Core,44000,198
Autism,15 to 18,NSW,Mid North Coast,Capacity Building,26000,275
Autism,15 to 18,NSW,Mid North Coast,Core,34000,143
Autism,15 to 18,NSW,Murrumbidgee,Capacity Building,24000,246
Autism,15 to 18,NSW,Murrumbidgee,Core,33000,128
Autism,15 to 18,NSW,Nepean Blue Mountains,Capacity Building,24000,363
Autism,15 to 18,NSW,Nepean Blue Mountains,Core,36000,243
Autism,15 to 18,NSW,North Sydney,Capacity Building,25000,306
Autism,15 to 18,NSW,North Sydney,Core,62000,219
Autism,15 to 18,NSW,Northern NSW,Capacity Building,30000,315
Autism,15 to 18,NSW,Northern NSW,Core,37000,172
Autism,15 to 18,NSW,South Eastern Sydney,Capacity Building,29000,288
Autism,15 to 18,NSW,South Eastern Sydney,Core,62000,196
Autism,15 to 18,NSW,South Western Sydney,Capacity Building,38000,597
Autism,15 to 18,NSW,South Western Sydney,Core,46000,542
Autism,15 to 18,NSW,Southern NSW,Capacity Building,25000,159
Autism,15 to 18,NSW,Southern NSW,Core,44000,80
Autism,15 to 18,NSW,Sydney,Capacity Building,36000,117
Autism,15 to 18,NSW,Sydney,Core,45000,97
Autism,15 to 18,NSW,Western NSW,Capacity Building,22000,215
Autism,15 to 18,NSW,Western NSW,Core,62000,115
Autism,15 to 18,NSW,Western Sydney,Capacity Building,36000,402
Autism,15 to 18,NSW,Western Sydney,Core,48000,337
Autism,19 to 24,NSW,Central Coast,Capacity Building,52000,213
Autism,19 to 24,NSW,Central Coast,Core,39000,224
Autism,19 to 24,NSW,Hunter New England,Capacity Building,53000,698
Autism,19 to 24,NSW,Hunter New England,Core,68000,600
Autism,19 to 24,NSW,Illawarra Shoalhaven,Capacity Building,71000,215
Autism,19 to 24,NSW,Illawarra Shoalhaven,Core,68000,225
Autism,19 to 24,NSW,Mid North Coast,Capacity Building,58000,145
Autism,19 to 24,NSW,Mid North Coast,Core,41000,151
Autism,19 to 24,NSW,Murrumbidgee,Capacity Building,74000,125
Autism,19 to 24,NSW,Murrumbidgee,Core,80000,126
Autism,19 to 24,NSW,Nepean Blue Mountains,Capacity Building,54000,227
Autism,19 to 24,NSW,Nepean Blue Mountains,Core,63000,193
Autism,19 to 24,NSW,North Sydney,Capacity Building,60000,209
Autism,19 to 24,NSW,North Sydney,Core,73000,186
Autism,19 to 24,NSW,Northern NSW,Capacity Building,57000,214
Autism,19 to 24,NSW,Northern NSW,Core,53000,178
Autism,19 to 24,NSW,South Eastern Sydney,Capacity Building,80000,199
Autism,19 to 24,NSW,South Eastern Sydney,Core,80000,243
Autism,19 to 24,NSW,South Western Sydney,Capacity Building,84000,373
Autism,19 to 24,NSW,South Western Sydney,Core,52000,517
Autism,19 to 24,NSW,Southern NSW,Capacity Building,48000,83
Autism,19 to 24,NSW,Southern NSW,Core,39000,106
Autism,19 to 24,NSW,Sydney,Capacity Building,71000,99
Autism,19 to 24,NSW,Sydney,Core,52000,106
Autism,19 to 24,NSW,Western NSW,Capacity Building,49000,131
Autism,19 to 24,NSW,Western NSW,Core,69000,138
Autism,19 to 24,NSW,Western Sydney,Capacity Building,82000,284
Autism,19 to 24,NSW,Western Sydney,Core,60000,358
Autism,25 to 34,NSW,Central Coast,Capacity Building,61000,136
Autism,25 to 34,NSW,Central Coast,Core,100000,103
Autism,25 to 34,NSW,Hunter New England,Capacity Building,63000,344
Autism,25 to 34,NSW,Hunter New England,Core,103000,291
Autism,25 to 34,NSW,Illawarra Shoalhaven,Capacity Building,73000,116
Autism,25 to 34,NSW,Illawarra Shoalhaven,Core,85000,111
Autism,25 to 34,NSW,Mid North Coast,Capacity Building,86000,72
Autism,25 to 34,NSW,Mid North Coast,Core,100000,63
Autism,25 to 34,NSW,Murrumbidgee,Capacity Building,82000,82
Autism,25 to 34,NSW,Murrumbidgee,Core,106000,76
Autism,25 to 34,NSW,Nepean Blue Mountains,Capacity Building,77000,115
Autism,25 to 34,NSW,Nepean Blue Mountains,Core,116000,95
Autism,25 to 34,NSW,North Sydney,Capacity Building,78000,127
Autism,25 to 34,NSW,North Sydney,Core,128000,127
Autism,25 to 34,NSW,Northern NSW,Capacity Building,65000,104
Autism,25 to 34,NSW,Northern NSW,Core,79000,94
Autism,25 to 34,NSW,South Eastern Sydney,Capacity Building,92000,115
Autism,25 to 34,NSW,South Eastern Sydney,Core,123000,134
Autism,25 to 34,NSW,South Western Sydney,Capacity Building,89000,173
Autism,25 to 34,NSW,South Western Sydney,Core,72000,241
Autism,25 to 34,NSW,Southern NSW,Capacity Building,56000,52
Autism,25 to 34,NSW,Southern NSW,Core,61000,52
Autism,25 to 34,NSW,Sydney,Capacity Building,69000,58
Autism,25 to 34,NSW,Sydney,Core,50000,73
Autism,25 to 34,NSW,Western NSW,Capacity Building,85000,52
Autism,25 to 34,NSW,Western NSW,Core,121000,59
Autism,25 to 34,NSW,Western Sydney,Capacity Building,98000,152
Autism,25 to 34,NSW,Western Sydney,Core,89000,190
Autism,35 to 44,NSW,Central Coast,Capacity Building,71000,41
Autism,35 to 44,NSW,Central Coast,Core,164000,41
Autism,35 to 44,NSW,Hunter New England,Capacity Building,62000,115
Autism,35 to 44,NSW,Hunter New England,Core,185000,71
Autism,35 to 44,NSW,Illawarra Shoalhaven,Capacity Building,71000,35
Autism,35 to 44,NSW,Illawarra Shoalhaven,Core,121000,34
Autism,35 to 44,NSW,Mid North Coast,Capacity Building,92000,22
Autism,35 to 44,NSW,Mid North Coast,Core,199000,18
Autism,35 to 44,NSW,Murrumbidgee,Capacity Building,82000,22
Autism,35 to 44,NSW,Murrumbidgee,Core,106000,24
Autism,35 to 44,NSW,Nepean Blue Mountains,Capacity Building,56000,33
Autism,35 to 44,NSW,Nepean Blue Mountains,Core,189000,29
Autism,35 to 44,NSW,North Sydney,Capacity Building,79000,39
Autism,35 to 44,NSW,North Sydney,Core,187000,31
Autism,35 to 44,NSW,Northern NSW,Capacity Building,68000,33
Autism,35 to 44,NSW,Northern NSW,Core,106000,29
Autism,35 to 44,NSW,South Eastern Sydney,Capacity Building,74000,41
Autism,35 to 44,NSW,South Eastern Sydney,Core,127000,35
Autism,35 to 44,NSW,South Western Sydney,Capacity Building,82000,48
Autism,35 to 44,NSW,South Western Sydney,Core,182000,54
Autism,35 to 44,NSW,Southern NSW,Capacity Building,84000,17
Autism,35 to 44,NSW,Southern NSW,Core,104000,17
Autism,35 to 44,NSW,Sydney,Capacity Building,84000,20
Autism,35 to 44,NSW,Sydney,Core,97000,18
Autism,35 to 44,NSW,Western NSW,Capacity Building,65000,19
Autism,35 to 44,NSW,Western NSW,Core,84000,20
Autism,35 to 44,NSW,Western Sydney,Capacity Building,85000,55
Autism,35 to 44,NSW,Western Sydney,Core,165000,40
Autism,45 to 54,NSW,Hunter New England,Capacity Building,54000,51
Autism,45 to 54,NSW,Hunter New England,Core,158000,33
Autism,45 to 54,NSW,Illawarra Shoalhaven,Capacity Building,79000,15
Autism,45 to 54,NSW,Illawarra Shoalhaven,Core,134000,14
Autism,45 to 54,NSW,Nepean Blue Mountains,Capacity Building,68000,12
Autism,45 to 54,NSW,North Sydney,Capacity Building,79000,29
Autism,45 to 54,NSW,North Sydney,Core,377000,20
Autism,45 to 54,NSW,Northern NSW,Capacity Building,61000,24
Autism,45 to 54,NSW,Northern NSW,Core,116000,18
Autism,45 to 54,NSW,South Eastern Sydney,Capacity Building,77000,16
Autism,45 to 54,NSW,South Eastern Sydney,Core,230000,20
Autism,45 to 54,NSW,South Western Sydney,Capacity Building,62000,19
Autism,45 to 54,NSW,South Western Sydney,Core,237000,15
Autism,45 to 54,NSW,Sydney,Capacity Building,99000,15
Autism,45 to 54,NSW,Sydney,Core,162000,16
Autism,45 to 54,NSW,Western Sydney,Capacity Building,103000,14
Autism,45 to 54,NSW,Western Sydney,Core,256000,21
Autism,55 to 64,NSW,Hunter New England,Capacity Building,73000,23
Autism,55 to 64,NSW,Hunter New England,Core,317000,15
Autism,55 to 64,NSW,North Sydney,Core,228000,20
Autism,7 to 14,NSW,Central Coast,Capacity Building,20000,1216
Autism,7 to 14,NSW,Central Coast,Core,18000,997
Autism,7 to 14,NSW,Far West,Capacity Building,18000,70
Autism,7 to 14,NSW,Far West,Core,14000,61
Autism,7 to 14,NSW,Hunter New England,Capacity Building,22000,2504
Autism,7 to 14,NSW,Hunter New England,Capital,13000,40
Autism,7 to 14,NSW,Hunter New England,Core,19000,2011
Autism,7 to 14,NSW,Illawarra Shoalhaven,Capacity Building,26000,775
Autism,7 to 14,NSW,Illawarra Shoalhaven,Core,20000,849
Autism,7 to 14,NSW,Mid North Coast,Capacity Building,19000,883
Autism,7 to 14,NSW,Mid North Coast,Core,13000,637
Autism,7 to 14,NSW,Murrumbidgee,Capacity Building,18000,652
Autism,7 to 14,NSW,Murrumbidgee,Core,14000,568
Autism,7 to 14,NSW,Nepean Blue Mountains,Capacity Building,20000,1184
